E[V/cm],diff_coeff[micron/sqrt(cm)]
150.6016852188971, 204.20517774884138
200.45807032179687, 183.53282647960685
250.2637035698212, 165.92198373027543
300.52585684683754, 154.63006678707941
350.307692852567, 145.63517732879686
400.9305110221136, 135.29860965262318
450.5470420250043, 128.0257907338178
500.5453479695845, 123.43397600145613
551.0265403276092, 120.56557595105082
601.0732577019105, 116.16440542697518
651.180888695671, 111.57135856400774
700.6404984588218, 107.55259657523683
750.4153828667338, 104.49131207908027
801.8897638314462, 101.6214558743226
851.0341000902968, 98.94280393721726
901.1263827323457, 96.64712059478305
951.9867372325136, 94.54286554374761
1001.1265788851912, 92.6299267722377
1003.4195107559357, 92.63003878411112
1052.8029307046659, 91.29160891054468
1102.092582481942, 89.95306702510467
1151.0535375770012, 88.61441312779161
1199.4424599965953, 87.08410691533314
1249.8655951929964, 85.74534100614676
1305.391432362947, 84.21514680556149
1363.3840296431724, 83.06803321152037
1414.213562373095, 82.11212388513181
1466.9381161252434, 81.73083546855966
1525.1134047827315, 80.96657845731647
1596.515474866524, 80.20265748169302
1678.924729704519, 79.05587992327196
1761.5532256631463, 77.71745004970526
1835.6068292462026, 76.18714383724674
1917.1544822904766, 75.04003024320582
2020.7321566850921, 73.51028409011354
2149.485871144632, 72.1725262877865
2286.443304702863, 71.02630878873148
2437.6975949215657, 70.07174360482207
2634.878046464826, 68.92631018887997
2848.0080278233468, 68.3554976827543
3064.3248272008805, 67.0182999397936
3252.1239693108437, 65.10580921577684
3459.337498103586, 63.19343050363332
3671.3452489287865, 61.089399476344454
3941.170904517354, 58.79438820514957
4240.517489055113, 58.6064322818217
4646.8734688736195, 59.95169487965717
4931.6601348306895, 61.6784699178113
5257.90253575067, 65.12933170916128
5491.4872037168925, 69.53688691001256
5683.203688087873, 72.60321194046574
5895.08425995439, 76.81889080242513
6142.906594537006, 82.37557581103616
6459.992374765677, 89.6565715965896
6731.562774967662, 94.63863569538387
6950.652815628458, 98.47100992705225
7276.065337683056, 103.83637865613747
7581.942475149819, 109.20152336147626
7936.910431161624, 114.1838114840173
8308.497116504113, 119.16609960655825
8657.776458662456, 123.38200249226415
9104.675294122824, 129.13067585164023
9552.763056745409, 133.72999537951017
9954.349859926322, 137.94589826521604
